com_code,tcf_type,continent,area_code,area,item,unit,tcf
c03,tcf_density,LAM,58,Ecuador,Wood fuel,kg/m3sw,584.6155
c03,tcf_density,LAM,60,El Salvador,Wood fuel,kg/m3sw,584.6155
c03,tcf_density,LAM,65,Falkland Islands (Malvinas),Wood fuel,kg/m3sw,584.6155
c03,tcf_density,LAM,69,French Guyana,Wood fuel,kg/m3sw,584.6155
c03,tcf_density,LAM,86,Grenada,Wood fuel,kg/m3sw,584.6155
c03,tcf_density,LAM,87,Guadeloupe,Wood fuel,kg/m3sw,584.6155
c03,tcf_density,LAM,89,Guatemala,Wood fuel,kg/m3sw,584.6155
c03,tcf_density,LAM,91,Guyana,Wood fuel,kg/m3sw,584.6155
c03,tcf_density,LAM,93,Haiti,Wood fuel,kg/m3sw,584.6155
c03,tcf_density,LAM,95,Honduras,Wood fuel,kg/m3sw,584.6155
c03,tcf_density,LAM,109,Jamaica,Wood fuel,kg/m3sw,584.6155
c03,tcf_density,LAM,135,Martinique,Wood fuel,kg/m3sw,584.6155
c03,tcf_density,LAM,138,Mexico,Wood fuel,kg/m3sw,584.6155
c03,tcf_density,LAM,142,Montserrat,Wood fuel,kg/m3sw,584.6155
c03,tcf_density,LAM,151,Netherlands Antilles,Wood fuel,kg/m3sw,584.6155
c03,tcf_density,LAM,157,Nicaragua,Wood fuel,kg/m3sw,584.6155
c03,tcf_density,LAM,166,Panama,Wood fuel,kg/m3sw,584.6155
c03,tcf_density,LAM,169,Paraguay,Wood fuel,kg/m3sw,584.6155
c03,tcf_density,LAM,170,Peru,Wood fuel,kg/m3sw,584.6155
c03,tcf_density,LAM,188,Saint Kitts and Nevis,Wood fuel,kg/m3sw,584.6155
c03,tcf_density,LAM,189,Saint Lucia,Wood fuel,kg/m3sw,584.6155
c03,tcf_density,LAM,191,Saint Vincent and the Grenadines,Wood fuel,kg/m3sw,584.6155
c03,tcf_density,LAM,207,Suriname,Wood fuel,kg/m3sw,584.6155
c03,tcf_density,LAM,220,Trinidad and Tobago,Wood fuel,kg/m3sw,584.6155
c03,tcf_density,LAM,224,Turks and Caicos Islands,Wood fuel,kg/m3sw,584.6155
c03,tcf_density,LAM,234,Uruguay,Wood fuel,kg/m3sw,648.61
c03,tcf_density,LAM,236,Venezuela (Bolivarian Republic of),Wood fuel,kg/m3sw,584.6155
c03,tcf_density,LAM,239,British Virgin Islands,Wood fuel,kg/m3sw,584.6155
c03,tcf_density,LAM,258,Anguilla,Wood fuel,kg/m3sw,584.6155
c03,tcf_density,LAM,279,Curaçao,Wood fuel,kg/m3sw,584.6155
c03,tcf_density,LAM,281,Saint-Martin (French Part),Wood fuel,kg/m3sw,584.6155
c03,tcf_density,NAM,33,Canada,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,NAM,190,Saint Pierre and Miquelon,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,NAM,231,United States of America,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,OCE,5,American Samoa,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,OCE,10,Australia,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,OCE,25,Solomon Islands,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,OCE,42,Christmas Island,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,OCE,43,Cocos (Keeling) Islands,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,OCE,47,Cook Islands,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,OCE,66,Fiji,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,OCE,70,French Polynesia,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,OCE,71,French Southern and Antarctic Territories,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,OCE,83,Kiribati,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,OCE,88,Guam,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,OCE,127,Marshall Islands,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,OCE,145,Micronesia (Federated States of),Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,OCE,148,Nauru,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,OCE,153,New Caledonia,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,OCE,155,Vanuatu,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,OCE,156,New Zealand,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,OCE,160,Niue,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,OCE,161,Norfolk Island,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,OCE,163,Northern Mariana Islands,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,OCE,168,Papua New Guinea,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,OCE,172,Pitcairn Islands,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,OCE,180,Palau,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,OCE,218,Tokelau,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,OCE,227,Tuvalu,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,OCE,242,Wake Island,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,OCE,243,Wallis and Futuna Islands,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,OCE,244,Samoa,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_density,ROW,999,RoW,Wood fuel,kg/m3sw,629.47832962963
c03,tcf_shipping_weight,AFR,4,Algeria,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,7,Angola,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,20,Botswana,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,29,Burundi,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,32,Cameroon,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,35,Cabo Verde,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,37,Central African Republic,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,39,Chad,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,45,Comoros,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,46,Congo,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,53,Benin,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,59,Egypt,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,61,Equatorial Guinea,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,72,Djibouti,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,74,Gabon,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,75,Gambia,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,81,Ghana,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,90,Guinea,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,107,Cote d'Ivoire,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,114,Kenya,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,122,Lesotho,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,123,Liberia,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,124,Libya,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,129,Madagascar,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,130,Malawi,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,133,Mali,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,136,Mauritania,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,137,Mauritius,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,143,Morocco,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,144,Mozambique,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,147,Namibia,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,158,Niger,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,159,Nigeria,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,175,Guinea-Bissau,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,178,Eritrea,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,181,Zimbabwe,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,182,Reunion,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,184,Rwanda,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,187,"Saint Helena, Ascension and Tristan da Cunha",Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,193,Sao Tome and Principe,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,195,Senegal,Wood fuel,m3rw/tonne,1.45416875
c03,tcf_shipping_weight,AFR,196,Seychelles,Wood fuel,m3rw/tonne,1.45416875
