area_code,area,com_code,item,wood,literature
133,Mali,c09,Particle board,82.5,Own calculations
136,Mauritania,c09,Particle board,82.5,Own calculations
137,Mauritius,c09,Particle board,82.5,Own calculations
143,Morocco,c09,Particle board,82.5,Own calculations
144,Mozambique,c09,Particle board,82.5,Own calculations
147,Namibia,c09,Particle board,82.5,Own calculations
158,Niger,c09,Particle board,82.5,Own calculations
159,Nigeria,c09,Particle board,82.5,Own calculations
175,Guinea-Bissau,c09,Particle board,82.5,Own calculations
178,Eritrea,c09,Particle board,82.5,Own calculations
181,Zimbabwe,c09,Particle board,82.5,Own calculations
182,Reunion,c09,Particle board,82.5,Own calculations
184,Rwanda,c09,Particle board,82.5,Own calculations
187,"Saint Helena, Ascension and Tristan da Cunha",c09,Particle board,82.5,Own calculations
193,Sao Tome and Principe,c09,Particle board,82.5,Own calculations
195,Senegal,c09,Particle board,82.5,Own calculations
196,Seychelles,c09,Particle board,82.5,Own calculations
197,Sierra Leone,c09,Particle board,82.5,Own calculations
201,Somalia,c09,Particle board,82.5,Own calculations
202,South Africa,c09,Particle board,82.5,Own calculations
205,Western Sahara,c09,Particle board,82.5,Own calculations
209,Eswatini,c09,Particle board,82.5,Own calculations
215,United Republic of Tanzania,c09,Particle board,82.5,Own calculations
217,Togo,c09,Particle board,82.5,Own calculations
219,Tonga,c09,Particle board,82.5,Own calculations
222,Tunisia,c09,Particle board,82.5,Own calculations
226,Uganda,c09,Particle board,82.5,Own calculations
233,Burkina Faso,c09,Particle board,82.5,Own calculations
238,Ethiopia,c09,Particle board,82.5,Own calculations
250,Democratic Republic of the Congo,c09,Particle board,82.5,Own calculations
251,Zambia,c09,Particle board,82.5,Own calculations
270,Mayotte,c09,Particle board,82.5,Own calculations
276,Sudan,c09,Particle board,82.5,Own calculations
277,South Sudan,c09,Particle board,82.5,Own calculations
1,Armenia,c09,Particle board,82,Own calculations
2,Afghanistan,c09,Particle board,82,Own calculations
13,Bahrain,c09,Particle board,82,Own calculations
16,Bangladesh,c09,Particle board,82,Own calculations
18,Bhutan,c09,Particle board,82,Own calculations
24,British Indian Ocean Territory,c09,Particle board,82,Own calculations
26,Brunei Darussalam,c09,Particle board,82,Own calculations
28,Myanmar,c09,Particle board,82,Own calculations
38,Sri Lanka,c09,Particle board,82,Own calculations
41,"China, mainland",c09,Particle board,79,"FAO, ITTO and United Nations (2020)"
52,Azerbaijan,c09,Particle board,82,Own calculations
73,Georgia,c09,Particle board,82,Own calculations
96,"China, Hong Kong SAR",c09,Particle board,82,Own calculations
100,India,c09,Particle board,82,Own calculations
101,Indonesia,c09,Particle board,82,"FAO, ITTO and United Nations (2020)"
102,Iran (Islamic Republic of),c09,Particle board,82,Own calculations
103,Iraq,c09,Particle board,82,Own calculations
105,Israel,c09,Particle board,82,Own calculations
108,Kazakhstan,c09,Particle board,82,Own calculations
110,Japan,c09,Particle board,82,Own calculations
112,Jordan,c09,Particle board,82,Own calculations
113,Kyrgyzstan,c09,Particle board,82,Own calculations
115,Cambodia,c09,Particle board,82,Own calculations
116,Democratic People's Republic of Korea,c09,Particle board,82,Own calculations
117,Republic of Korea,c09,Particle board,82,Own calculations
118,Kuwait,c09,Particle board,82,Own calculations
120,Lao People's Democratic Republic,c09,Particle board,82,Own calculations
121,Lebanon,c09,Particle board,82,Own calculations
128,"China, Macao SAR",c09,Particle board,82,Own calculations
131,Malaysia,c09,Particle board,84,"FAO, ITTO and United Nations (2020)"
132,Maldives,c09,Particle board,82,Own calculations
141,Mongolia,c09,Particle board,82,Own calculations
149,Nepal,c09,Particle board,82,Own calculations
164,Pacific Islands Trust Territory,c09,Particle board,82,Own calculations
165,Pakistan,c09,Particle board,82,Own calculations
171,Philippines,c09,Particle board,82,Own calculations
176,Timor-Leste,c09,Particle board,82,Own calculations
179,Qatar,c09,Particle board,82,Own calculations
194,Saudi Arabia,c09,Particle board,82,Own calculations
200,Singapore,c09,Particle board,82,Own calculations
208,Tajikistan,c09,Particle board,82,Own calculations
212,Syrian Arab Republic,c09,Particle board,82,Own calculations
213,Turkmenistan,c09,Particle board,82,Own calculations
214,"China, Taiwan Province of",c09,Particle board,82,Own calculations
216,Thailand,c09,Particle board,82,Own calculations
221,Oman,c09,Particle board,82,Own calculations
225,United Arab Emirates,c09,Particle board,82,Own calculations
228,USSR,c09,Particle board,82,Own calculations
235,Uzbekistan,c09,Particle board,82,Own calculations
237,Viet Nam,c09,Particle board,82,Own calculations
249,Yemen,c09,Particle board,82,Own calculations
299,Palestine,c09,Particle board,82,Own calculations
3,Albania,c09,Particle board,83,Own calculations
6,Andorra,c09,Particle board,83,Own calculations
11,Austria,c09,Particle board,83,Own calculations
15,Belgium-Luxembourg,c09,Particle board,83,Own calculations
27,Bulgaria,c09,Particle board,83,Own calculations
50,Cyprus,c09,Particle board,83,Own calculations
51,Czechoslovakia,c09,Particle board,83,Own calculations
54,Denmark,c09,Particle board,83,Own calculations
57,Belarus,c09,Particle board,83,Own calculations
63,Estonia,c09,Particle board,83,Own calculations
64,Faroe Islands,c09,Particle board,83,Own calculations
67,Finland,c09,Particle board,79,"FAO, ITTO and United Nations (2020)"
68,France,c09,Particle board,82,"FAO, ITTO and United Nations (2020)"
79,Germany,c09,Particle board,83,Own calculations
80,Bosnia and Herzegovina,c09,Particle board,83,Own calculations
82,Gibraltar,c09,Particle board,83,Own calculations
84,Greece,c09,Particle board,83,Own calculations
85,Greenland,c09,Particle board,83,Own calculations
94,Holy See,c09,Particle board,83,Own calculations
97,Hungary,c09,Particle board,83,Own calculations
98,Croatia,c09,Particle board,83,Own calculations
99,Iceland,c09,Particle board,83,Own calculations
104,Ireland,c09,Particle board,79,"FAO, ITTO and United Nations (2020)"
106,Italy,c09,Particle board,83,Own calculations
119,Latvia,c09,Particle board,83,Own calculations
125,Liechtenstein,c09,Particle board,83,Own calculations
126,Lithuania,c09,Particle board,83,Own calculations
134,Malta,c09,Particle board,83,Own calculations
146,Republic of Moldova,c09,Particle board,83,Own calculations
150,Netherlands,c09,Particle board,83,Own calculations
154,North Macedonia,c09,Particle board,83,Own calculations
162,Norway,c09,Particle board,83,"FAO, ITTO and United Nations (2020)"
167,Czechia,c09,Particle board,83,Own calculations
173,Poland,c09,Particle board,85,"FAO, ITTO and United Nations (2020)"
174,Portugal,c09,Particle board,83,"FAO, ITTO and United Nations (2020)"
183,Romania,c09,Particle board,83,Own calculations
185,Russian Federation,c09,Particle board,83,Own calculations
186,Serbia and Montenegro,c09,Particle board,83,Own calculations
192,San Marino,c09,Particle board,83,Own calculations
198,Slovenia,c09,Particle board,83,"FAO, ITTO and United Nations (2020)"
199,Slovakia,c09,Particle board,83,Own calculations
203,Spain,c09,Particle board,83,Own calculations
210,Sweden,c09,Particle board,83,Own calculations
211,Switzerland,c09,Particle board,83,Own calculations
223,Turkey,c09,Particle board,83,Own calculations
229,United Kingdom,c09,Particle board,83,Own calculations
230,Ukraine,c09,Particle board,88,"FAO, ITTO and United Nations (2020)"
248,Yugoslav SFR,c09,Particle board,83,Own calculations
255,Belgium,c09,Particle board,83,Own calculations
256,Luxembourg,c09,Particle board,83,Own calculations
272,Serbia,c09,Particle board,83,Own calculations
273,Montenegro,c09,Particle board,83,Own calculations
8,Antigua and Barbuda,c09,Particle board,81,Own calculations
9,Argentina,c09,Particle board,81,Own calculations
12,Bahamas,c09,Particle board,81,Own calculations
14,Barbados,c09,Particle board,81,Own calculations
17,Bermuda,c09,Particle board,81,Own calculations
19,Bolivia (Plurinational State of),c09,Particle board,81,Own calculations
21,Brazil,c09,Particle board,81,Own calculations
22,Aruba,c09,Particle board,81,Own calculations
23,Belize,c09,Particle board,81,Own calculations
36,Cayman Islands,c09,Particle board,81,Own calculations
40,Chile,c09,Particle board,84,"FAO, ITTO and United Nations (2020)"
44,Colombia,c09,Particle board,81,Own calculations
48,Costa Rica,c09,Particle board,81,Own calculations
49,Cuba,c09,Particle board,81,Own calculations
55,Dominica,c09,Particle board,81,Own calculations
56,Dominican Republic,c09,Particle board,81,Own calculations
58,Ecuador,c09,Particle board,81,Own calculations
60,El Salvador,c09,Particle board,81,Own calculations
65,Falkland Islands (Malvinas),c09,Particle board,81,Own calculations
69,French Guyana,c09,Particle board,81,Own calculations
86,Grenada,c09,Particle board,81,Own calculations
87,Guadeloupe,c09,Particle board,81,Own calculations
89,Guatemala,c09,Particle board,81,Own calculations
91,Guyana,c09,Particle board,81,Own calculations
93,Haiti,c09,Particle board,81,Own calculations
95,Honduras,c09,Particle board,81,Own calculations
109,Jamaica,c09,Particle board,81,Own calculations
135,Martinique,c09,Particle board,81,Own calculations
138,Mexico,c09,Particle board,77,"FAO, ITTO and United Nations (2020)"
142,Montserrat,c09,Particle board,81,Own calculations
151,Netherlands Antilles,c09,Particle board,81,Own calculations
157,Nicaragua,c09,Particle board,81,Own calculations
166,Panama,c09,Particle board,81,Own calculations
169,Paraguay,c09,Particle board,81,Own calculations
170,Peru,c09,Particle board,81,Own calculations
188,Saint Kitts and Nevis,c09,Particle board,81,Own calculations
189,Saint Lucia,c09,Particle board,81,Own calculations
191,Saint Vincent and the Grenadines,c09,Particle board,81,Own calculations
207,Suriname,c09,Particle board,81,Own calculations
220,Trinidad and Tobago,c09,Particle board,81,Own calculations
224,Turks and Caicos Islands,c09,Particle board,81,Own calculations
234,Uruguay,c09,Particle board,81,Own calculations
236,Venezuela (Bolivarian Republic of),c09,Particle board,81,Own calculations
239,British Virgin Islands,c09,Particle board,81,Own calculations
258,Anguilla,c09,Particle board,81,Own calculations
279,Curaçao,c09,Particle board,81,Own calculations
281,Saint-Martin (French Part),c09,Particle board,81,Own calculations
33,Canada,c09,Particle board,84,Own calculations
190,Saint Pierre and Miquelon,c09,Particle board,84,Own calculations
231,United States of America,c09,Particle board,84,"FAO, ITTO and United Nations (2020)"
5,American Samoa,c09,Particle board,82.5,Own calculations
10,Australia,c09,Particle board,82.5,Own calculations
25,Solomon Islands,c09,Particle board,82.5,Own calculations
42,Christmas Island,c09,Particle board,82.5,Own calculations
43,Cocos (Keeling) Islands,c09,Particle board,82.5,Own calculations
47,Cook Islands,c09,Particle board,82.5,Own calculations
66,Fiji,c09,Particle board,82.5,Own calculations
70,French Polynesia,c09,Particle board,82.5,Own calculations
71,French Southern and Antarctic Territories,c09,Particle board,82.5,Own calculations
83,Kiribati,c09,Particle board,82.5,Own calculations
88,Guam,c09,Particle board,82.5,Own calculations
127,Marshall Islands,c09,Particle board,82.5,Own calculations
145,Micronesia (Federated States of),c09,Particle board,82.5,Own calculations
148,Nauru,c09,Particle board,82.5,Own calculations
153,New Caledonia,c09,Particle board,82.5,Own calculations
155,Vanuatu,c09,Particle board,82.5,Own calculations
156,New Zealand,c09,Particle board,82.5,Own calculations
160,Niue,c09,Particle board,82.5,Own calculations
161,Norfolk Island,c09,Particle board,82.5,Own calculations
163,Northern Mariana Islands,c09,Particle board,82.5,Own calculations
168,Papua New Guinea,c09,Particle board,82.5,Own calculations
172,Pitcairn Islands,c09,Particle board,82.5,Own calculations
180,Palau,c09,Particle board,82.5,Own calculations
218,Tokelau,c09,Particle board,82.5,Own calculations
227,Tuvalu,c09,Particle board,82.5,Own calculations
242,Wake Island,c09,Particle board,82.5,Own calculations
243,Wallis and Futuna Islands,c09,Particle board,82.5,Own calculations
244,Samoa,c09,Particle board,82.5,Own calculations
999,RoW,c09,Particle board,82.5,Own calculations
252,Unspecified Area,c09,Particle board,82.5,Own calculations
254,Others (adjustment),c09,Particle board,82.5,Own calculations
4,Algeria,c10,OSB,88.6666666666667,Own calculations
7,Angola,c10,OSB,88.6666666666667,Own calculations
20,Botswana,c10,OSB,88.6666666666667,Own calculations
29,Burundi,c10,OSB,88.6666666666667,Own calculations
32,Cameroon,c10,OSB,88.6666666666667,Own calculations
35,Cabo Verde,c10,OSB,88.6666666666667,Own calculations
37,Central African Republic,c10,OSB,88.6666666666667,Own calculations
39,Chad,c10,OSB,88.6666666666667,Own calculations
45,Comoros,c10,OSB,88.6666666666667,Own calculations
46,Congo,c10,OSB,88.6666666666667,Own calculations
53,Benin,c10,OSB,88.6666666666667,Own calculations
59,Egypt,c10,OSB,88.6666666666667,Own calculations
61,Equatorial Guinea,c10,OSB,88.6666666666667,Own calculations
72,Djibouti,c10,OSB,88.6666666666667,Own calculations
74,Gabon,c10,OSB,88.6666666666667,Own calculations
75,Gambia,c10,OSB,88.6666666666667,Own calculations
81,Ghana,c10,OSB,88.6666666666667,Own calculations
90,Guinea,c10,OSB,88.6666666666667,Own calculations
107,Cote d'Ivoire,c10,OSB,88.6666666666667,Own calculations
114,Kenya,c10,OSB,88.6666666666667,Own calculations
122,Lesotho,c10,OSB,88.6666666666667,Own calculations
123,Liberia,c10,OSB,88.6666666666667,Own calculations
124,Libya,c10,OSB,88.6666666666667,Own calculations
129,Madagascar,c10,OSB,88.6666666666667,Own calculations
130,Malawi,c10,OSB,88.6666666666667,Own calculations
133,Mali,c10,OSB,88.6666666666667,Own calculations
136,Mauritania,c10,OSB,88.6666666666667,Own calculations
137,Mauritius,c10,OSB,88.6666666666667,Own calculations
143,Morocco,c10,OSB,88.6666666666667,Own calculations
